NEWER_VERSION_ON_COMMIT_DATE;PREVIOUS_VERSION;Count of HASH
1.0.2.v20150114;1.0.2.v20150114;357
1.2.2.RELEASE;1.1.13.BUILD-SNAPSHOT;356
2.0.2.Final;2.0.1.final;356
0.11;0.11;351
3.0.0.Alpha12;3.0.0.Alpha12;351
1.0.2.v20150114;0.9.1.v20140329;350
2.2.0.CR5;2.2.0.CR4;350
2.2.0.Final;3.0.0.Alpha4;350
3.0.0.Alpha7;3.0.0.Alpha7;350
0.16.8;0.17.3-SNAPSHOT;348
2.2.0;2.2.1-SNAPSHOT;348
3.0.1;3.0.2-SNAPSHOT;348
4.1.0;3.0;345
7.0.0.Final;7.1.0.Alpha1-SNAPSHOT;344
7.0.0.Final;7.0.1.Final;343
3.0.0.Alpha17;3.0.0.Alpha16;342
3.0.0.Alpha19;3.0.0.Alpha17;342
3.0.0.Alpha20;3.0.0.Alpha20;342
3.0-alpha-1;2.4;342
1.3.7.RELEASE;1.3.8.BUILD-SNAPSHOT;340
2.1.0.Final;2.1.0.CR2;340
1.3.8.RELEASE;1.3.9.BUILD-SNAPSHOT;339
4.2.2.RELEASE;4.2.3.BUILD-SNAPSHOT;339
1.1.2.RELEASE;1.1.3.BUILD-SNAPSHOT;338
1.4.1.RELEASE;1.3.9.BUILD-SNAPSHOT;337
0.15.9;0.15.10-SNAPSHOT;336
1.2.5.RELEASE;1.3.4.BUILD-SNAPSHOT;336
3.1.0-RC1;3.2.0-SNAPSHOT;336
1.7.6;1.7.5;335
2.2.0-M01;2.2-SNAPSHOT;335
2.4;2.4;335
2.0.0.CR4;2.0.0.CR4;334
2.0.0.CR8;2.0.0.CR7;334
4.11;4.10;334
1.0.0;1.0.0;333
2.0.0.Beta7;2.0.0.CR1;332
1.2_15-B02;2.1.3-b02-jbossorg-2;331
2.0.0.Beta6;2.0.0.Beta5;330
2.0.0.Beta6;2.0.0.Beta6;330
3.0.0;3.1.0-SNAPSHOT;330
3.0.1;3.1.0-SNAPSHOT;330
3.0-alpha-1;${servlet2.version};329
2.1.8;2.2.1-SNAPSHOT;328
0.18;0.18;327
